Performance Comparison Report
========================================
[PostgreSQL] User: 483520c2-c87f-4881-8dc5-e06a6387e1aa, Likes: 1, Bookmarks: 1, Total Duration: 0.0275s
[PostgreSQL] User: 73992833-4b57-4a7f-9585-805ad63fb0b1, Likes: 22, Bookmarks: 22, Total Duration: 0.0805s
[PostgreSQL] User: 18589738-d3d1-47de-822c-3c0a18be6387, Likes: 1, Bookmarks: 1, Total Duration: 0.1586s
[PostgreSQL] User: 3686d306-8515-4688-bc18-9e25949b8a41, Likes: 22, Bookmarks: 22, Total Duration: 0.2617s
[PostgreSQL] User: 4bdcddec-b365-4d01-8332-8a84ab4b803f, Likes: 26, Bookmarks: 26, Total Duration: 0.3898s
[PostgreSQL] User: 4d54eb00-f7b5-4340-b4a6-2d7a48b50508, Likes: 20, Bookmarks: 20, Total Duration: 0.5466s
[PostgreSQL] User: 3d77938b-cf73-4650-b447-1265e31076ee, Likes: 1, Bookmarks: 1, Total Duration: 0.7298s
[PostgreSQL] User: 10016e3d-20e6-405c-83ee-dcdc7f746a59, Likes: 1, Bookmarks: 1, Total Duration: 0.9390s
[PostgreSQL] User: d22123e2-b537-4ceb-be39-0b54a41a89f8, Likes: 1, Bookmarks: 1, Total Duration: 1.1744s
[PostgreSQL] User: b1a9cd3e-bc53-4f3b-ae9b-a623ee4281d5, Likes: 3, Bookmarks: 3, Total Duration: 1.4360s
[PostgreSQL] User: e6214299-e695-4988-b5be-28f760680040, Likes: 3, Bookmarks: 3, Total Duration: 1.7239s
[PostgreSQL] User: 6830369f-3740-4b7b-ab71-d9a769a42993, Likes: 1, Bookmarks: 1, Total Duration: 2.0383s
[PostgreSQL] User: 3a1441c0-10c8-4b0b-9fa0-0aee9b3f142a, Likes: 1, Bookmarks: 1, Total Duration: 2.3797s
[PostgreSQL] User: 0b369a44-561d-42dd-b5b5-35a5280db6ba, Likes: 20, Bookmarks: 20, Total Duration: 2.7475s
[PostgreSQL] User: 43d0beed-87d5-4793-b2ca-1d4c0cbd8726, Likes: 21, Bookmarks: 21, Total Duration: 3.1417s
[PostgreSQL] User: 033b22f0-d6ec-42c2-81a3-db34d8d3083d, Likes: 1, Bookmarks: 1, Total Duration: 3.5622s
[PostgreSQL] User: 8be7c5fc-1eaf-41f1-acc4-dfd75cac087d, Likes: 23, Bookmarks: 23, Total Duration: 4.0087s
[PostgreSQL] User: 4f6533c7-bf8f-4d47-8a74-aefbc1bf7f4e, Likes: 3, Bookmarks: 3, Total Duration: 4.4816s
[PostgreSQL] User: 4752b1df-4615-4fdf-b4d2-d0284687e655, Likes: 1, Bookmarks: 1, Total Duration: 4.9807s
[PostgreSQL] User: 2689ea1a-ba57-4eb4-969f-094fea824c1d, Likes: 2, Bookmarks: 2, Total Duration: 5.5064s
[PostgreSQL] User: a1fe16c6-3bea-4f3e-a375-c4f7cc3e3c47, Likes: 25, Bookmarks: 25, Total Duration: 6.0587s
[PostgreSQL] User: 7982398a-d489-4a77-90d0-5155561bbbe5, Likes: 1, Bookmarks: 1, Total Duration: 6.6378s
[PostgreSQL] User: 33fda894-7840-4933-a84a-8b318f85a06b, Likes: 1, Bookmarks: 1, Total Duration: 7.2437s
[PostgreSQL] User: 54d3fb94-2532-4dee-b11f-ff3b6e0ac492, Likes: 25, Bookmarks: 25, Total Duration: 7.8764s
[PostgreSQL] User: a1b2494e-0977-44a1-bb74-98123c663811, Likes: 11, Bookmarks: 11, Total Duration: 8.5358s
[PostgreSQL] User: f0777ed2-d6b4-4d26-85b1-2741111e8492, Likes: 4, Bookmarks: 4, Total Duration: 9.2217s
[PostgreSQL] User: 514be043-ad89-4af7-a5cb-241956b69085, Likes: 26, Bookmarks: 26, Total Duration: 9.9343s
[PostgreSQL] User: 1c4b0093-b074-499c-b280-aba8a75588ad, Likes: 26, Bookmarks: 26, Total Duration: 10.6738s
[PostgreSQL] User: c87053fa-9ee1-4bae-ae48-181b844a89fa, Likes: 1, Bookmarks: 1, Total Duration: 11.4401s
